The test group: G_1 
sentenceID:/correctFrame/totalFrame/rate_frame/correctSign/groundtruth/rate_sign/distance/insert/delete/substitute
S0088:	467	646	0.722910	8	10	0.800000	3	1	1	1
S0089:	438	537	0.815642	9	10	0.900000	1	0	1	0
S0090:	357	631	0.565769	8	10	0.800000	4	2	1	1
S0091:	435	623	0.698234	9	10	0.900000	2	0	2	0
S0092:	442	572	0.772727	9	10	0.900000	1	0	0	1
S0093:	425	646	0.657895	9	10	0.900000	2	1	0	1
S0094:	301	515	0.584466	4	10	0.400000	6	0	2	4
S0095:	461	684	0.673977	10	10	1.000000	2	2	0	0
S0096:	368	615	0.598374	8	10	0.800000	5	3	1	1
S0097:	309	539	0.573284	5	10	0.500000	6	1	3	2
S0098:	490	667	0.734633	9	10	0.900000	2	1	1	0
S0099:	262	498	0.526104	4	10	0.400000	6	0	3	3
Ave.:	39594	58468	0.677191	762	1000	0.762000	349	105	99	145 
